,SEASON_YEAR,TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,TEAM_ABBREVIATION_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS_x,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
49,2020-21,ATL,Atlanta Hawks,22001066,2021-05-16,ATL vs. HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,HOU,38,38,0.434,23.84,39.0,0.611,0.579,0.032,29.66,52.63,0.564,0.532,0.032,14.5,37.13,0.391,0.372,0.019,103.6,112.4
51,2020-21,ATL,Atlanta Hawks,22001049,2021-05-13,ATL vs. ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,ORL,36,36,0.411,21.47,37.25,0.576,0.579,-0.002,28.92,53.86,0.537,0.532,0.005,13.72,36.81,0.373,0.366,0.007,100.8,112.1
15,2020-21,ATL,Atlanta Hawks,22001042,2021-05-12,ATL vs. WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,WAS,38,38,0.445,23.39,41.29,0.567,0.571,-0.004,31.89,60.32,0.529,0.528,0.001,11.47,32.42,0.354,0.365,-0.011,106.4,110.5
16,2020-21,ATL,Atlanta Hawks,22001026,2021-05-10,ATL vs. WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,WAS,38,38,0.445,23.39,41.29,0.567,0.571,-0.004,31.89,60.32,0.529,0.528,0.001,11.47,32.42,0.354,0.365,-0.011,106.4,110.5
1,2020-21,ATL,Atlanta Hawks,22001000,2021-05-06,ATL @ IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,IND,37,37,0.504,26.81,47.57,0.564,0.575,-0.011,33.16,63.41,0.523,0.528,-0.005,10.89,31.05,0.351,0.362,-0.011,104.0,109.6
54,2020-21,ATL,Atlanta Hawks,22000992,2021-05-05,ATL vs. PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,PHX,37,37,0.427,22.05,37.19,0.593,0.571,0.022,29.22,53.73,0.544,0.525,0.019,12.14,33.3,0.364,0.366,-0.001,99.3,108.8
31,2020-21,ATL,Atlanta Hawks,22000978,2021-05-03,ATL vs. POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,POR,37,37,0.413,21.57,36.32,0.594,0.577,0.017,28.73,53.62,0.536,0.531,0.004,12.84,34.24,0.375,0.366,0.009,100.8,113.4
47,2020-21,ATL,Atlanta Hawks,22000959,2021-05-01,ATL vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,CHI,38,38,0.437,21.92,37.79,0.58,0.57,0.01,29.13,54.53,0.534,0.527,0.007,11.53,32.03,0.36,0.366,-0.006,101.1,109.9
33,2020-21,ATL,Atlanta Hawks,22000949,2021-04-30,ATL @ PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,PHI,36,36,0.425,21.19,35.72,0.593,0.575,0.018,27.28,52.94,0.515,0.528,-0.013,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
34,2020-21,ATL,Atlanta Hawks,22000934,2021-04-28,ATL @ PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,PHI,36,36,0.425,21.19,35.72,0.593,0.575,0.018,27.28,52.94,0.515,0.528,-0.013,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
29,2020-21,ATL,Atlanta Hawks,22000916,2021-04-26,ATL @ DET,1610612765,41.5,87.86,0.472,0.464,0.008,Detroit Pistons,DET,36,36,0.477,24.22,41.92,0.578,0.571,0.007,30.78,57.08,0.539,0.527,0.012,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
23,2020-21,ATL,Atlanta Hawks,22000913,2021-04-25,ATL vs. MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,MIL,36,36,0.364,18.64,34.14,0.546,0.574,-0.028,27.36,54.39,0.503,0.528,-0.025,15.56,39.42,0.395,0.366,0.029,104.4,109.1
56,2020-21,ATL,Atlanta Hawks,22000898,2021-04-23,ATL vs. MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,MIA,36,36,0.405,20.17,33.89,0.595,0.571,0.024,25.75,46.44,0.554,0.526,0.028,13.69,37.22,0.368,0.363,0.005,98.7,108.5
39,2020-21,ATL,Atlanta Hawks,22000886,2021-04-21,ATL @ NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,NYK,35,35,0.433,21.06,37.57,0.56,0.58,-0.019,26.83,52.69,0.509,0.533,-0.024,11.77,34.17,0.344,0.364,-0.02,98.2,105.7
52,2020-21,ATL,Atlanta Hawks,22000876,2021-04-20,ATL vs. ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,ORL,36,36,0.411,21.47,37.25,0.576,0.579,-0.002,28.92,53.86,0.537,0.532,0.005,13.72,36.81,0.373,0.366,0.007,100.8,112.1
2,2020-21,ATL,Atlanta Hawks,22000861,2021-04-18,ATL vs. IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,IND,37,37,0.504,26.81,47.57,0.564,0.575,-0.011,33.16,63.41,0.523,0.528,-0.005,10.89,31.05,0.351,0.362,-0.011,104.0,109.6
24,2020-21,ATL,Atlanta Hawks,22000840,2021-04-15,ATL vs. MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,MIL,36,36,0.364,18.64,34.14,0.546,0.574,-0.028,27.36,54.39,0.503,0.528,-0.025,15.56,39.42,0.395,0.366,0.029,104.4,109.1
8,2020-21,ATL,Atlanta Hawks,22000824,2021-04-13,ATL @ TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,TOR,36,36,0.422,20.97,35.89,0.584,0.574,0.01,25.72,49.14,0.523,0.527,-0.004,13.69,35.94,0.381,0.366,0.015,101.6,109.8
37,2020-21,ATL,Atlanta Hawks,22000805,2021-04-11,ATL @ CHA,1610612766,40.97,88.08,0.465,0.466,-0.001,Charlotte Hornets,CHA,37,37,0.421,22.14,37.08,0.597,0.578,0.019,27.19,49.32,0.551,0.529,0.022,13.78,38.76,0.356,0.366,-0.01,100.6,110.6
48,2020-21,ATL,Atlanta Hawks,22000791,2021-04-09,ATL vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,CHI,38,38,0.437,21.92,37.79,0.58,0.57,0.01,29.13,54.53,0.534,0.527,0.007,11.53,32.03,0.36,0.366,-0.006,101.1,109.9
45,2020-21,ATL,Atlanta Hawks,22000780,2021-04-07,ATL vs. MEM,1610612763,41.55,91.2,0.456,0.464,-0.009,Memphis Grizzlies,MEM,40,40,0.436,21.78,39.8,0.547,0.575,-0.028,28.85,55.95,0.516,0.529,-0.013,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
59,2020-21,ATL,Atlanta Hawks,22000770,2021-04-06,ATL vs. NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,NOP,36,36,0.401,21.25,36.22,0.587,0.573,0.014,28.33,53.69,0.528,0.525,0.003,13.42,36.69,0.366,0.368,-0.002,102.3,111.6
61,2020-21,ATL,Atlanta Hawks,22000759,2021-04-04,ATL vs. GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,GSW,35,35,0.449,22.4,39.69,0.564,0.577,-0.012,29.26,55.06,0.531,0.533,-0.002,11.51,33.29,0.346,0.362,-0.016,104.4,107.7
60,2020-21,ATL,Atlanta Hawks,22000742,2021-04-02,ATL @ NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,NOP,36,36,0.401,21.25,36.22,0.587,0.573,0.014,28.33,53.69,0.528,0.525,0.003,13.42,36.69,0.366,0.368,-0.002,102.3,111.6
4,2020-21,ATL,Atlanta Hawks,22000735,2021-04-01,ATL @ SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,SAS,40,40,0.463,24.03,41.6,0.578,0.58,-0.002,31.3,58.35,0.536,0.533,0.003,11.68,31.48,0.371,0.37,0.001,101.0,110.7
